id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
30,COMP_M,4,4_22,4_(19-22),46,45,22,22,4_19,66.62183754993342,995.641901847975,1062.2637393979085,995.641901847975,995.641901847975
30,COMP_M,4,4_21,4_(19-21),46,36,22,19,4_19,70.28070175438596,1007.6420262062151,1077.922727960601,995.641901847975,1007.6420262062151
33,COMP_M,5,5_23,M.USER.APP.5,8,50,24,3,None,91.28971962616822,1010.0000623347732,1101.2897819609416,1000.0,1010.0000623347732
31,COMP_M,4,4_22,4_(19-22),34,41,19,36,4_19,82.699173553719,1014.4236533669897,1097.1228269207088,1009.4236043618431,1014.4236533669897
31,COMP_M,4,4_20,4_(19-20),34,39,19,4,4_19,51.729166666666664,1016.4236584278163,1068.152825094483,1009.4236043618431,1016.4236584278163
32,COMP_M,7,7_30,7_(29-30),64,57,1,4,7_29,43.18402777777778,1023.7455745326484,1066.9296023104262,1017.745475527715,1023.7455745326484
28,COMP_M,3,3_14,3_(13-14),28,29,12,37,3_13,90.38841567291311,1025.8026410375273,1116.1910567104405,1018.802530915394,1025.8026410375273
23,COMP_M,7,7_34,7_(32-34),67,69,8,8,7_32,40.49789029535865,1035.5143647764223,1076.012255071781,1035.5143647764223,1035.5143647764223
32,COMP_M,7,7_31,7_(30-31),57,58,4,38,7_30,81.99675324675324,1070.9296566554262,1152.9264099021796,1066.9296023104262,1070.9296566554262
32,COMP_M,7,7_33,7_(30-33),57,60,4,1,7_30,30.727087576374746,1072.9297059040796,1103.6567934804543,1066.9296023104262,1072.9297059040796
31,COMP_M,4,4_21,4_(19-21),34,36,19,19,4_19,70.28070175438596,1077.922727960601,1148.203429714987,1009.4236043618431,1009.4236043618431
23,COMP_M,7,7_36,7_(34-36),69,63,8,3,7_34,85.65732087227414,1084.012332471808,1169.669653344082,1076.012255071781,1084.012332471808
35,COMP_M,7,7_29,M.USER.APP.7,11,64,30,1,None,60.74541751527495,1096.00005801244,1156.745475527715,1093.0,1096.00005801244
34,COMP_M,4,4_19,M.USER.APP.4,6,34,46,19,None,51.423558897243105,1097.0000454646,1148.423604361843,1093.0,1097.0000454646
36,COMP_M,1,1_2,M.USER.APP.1,1,17,45,12,None,41.89021956087824,1101.0000515826932,1142.8902711435715,1094.0,1101.0000515826932
33,COMP_M,5,5_24,5_(23-24),50,51,3,3,5_23,35.085669781931465,1101.2897819609416,1136.375451742873,1101.2897819609416,1101.2897819609416
33,COMP_M,5,5_25,5_(23-25),50,52,3,38,5_23,32.77435064935065,1111.2899308258216,1144.0642814751723,1101.2897819609416,1111.2899308258216
28,COMP_M,3,3_15,3_(14-15),29,30,37,18,3_14,32.75985663082437,1121.1910971562806,1153.950953787105,1116.1910567104405,1121.1910971562806
37,COMP_M,0,0_0,M.USER.APP.0,0,15,22,12,None,102.91417165668663,1124.0000823349333,1226.91425399162,1116.0,1124.0000823349333
28,COMP_M,3,3_16,3_(14-16),29,31,37,18,3_14,52.333333333333336,1124.1911254677207,1176.524458801054,1116.1910567104405,1124.1911254677207
39,COMP_M,9,9_41,M.USER.APP.9,14,81,6,23,None,52.68970588235294,1141.0000469348265,1193.6897528171794,1134.0,1141.0000469348265
